UBI	EAN	Lote	Caducidad	Piezas
2-2-9	7501125132537	B052723	5.2014	1388
2-2-9	7501125132537	B062812	6.2014	3352
2-2-9	7501125132537	B072877	7.2014	820
2-2-9	7501711633691	215211	8.2013	2
2-2-9	7501711633691	249211	10.2013	44
2-2-9	7501908250946	13003	11.2013	12
2-2-9	7501908250946	23035	8.2014	656
2-2-9	7501908250946	23036	8.2014	1768
3-1-2	7501124109929	I1106354	6.2015	63
3-1-2	7501303449501	XB305WC	8.2017	4
3-1-2	7501563323337	109131	12.2013	7
3-1-2	7502213040048	1H097	8.2013	95
3-1-2	7502213040048	2B051	3.2014	3
3-1-2	7502213040048	1H1113	9.2013	47
3-2-1	7501075710113	20962	10.2014	740
3-2-2	7501075713183	340032	1.2015	84
3-2-2	7501075713183	340052	1.2015	336
3-2-2	7501075713183	340062	1.2015	252
3-2-2	7501075713183	340092	1.2015	250
3-2-3	7501125193026	N092186	9.2014	900
3-2-3	7501125195556	N102064	10.2014	960
3-2-4	7501125104664	A082535	8.2014	180
3-2-4	7501125104664	A092642	9.2014	1820
3-2-6	7501471888898	BM8151	6.2014	120
3-2-6	7501471888898	BM8152	6.2014	700
3-2-6	7501471888898	BM8153	6.2014	120
3-2-6	7502010840216	512195	7.2014	600
3-2-7	75006440	721672	10.2017	700
3-2-7	75016562	1108654	8.2014	534
3-2-7	75016562	1202343	2.2015	128
3-3-1	785118752767	IF1431	6.2014	999
3-3-1	785118752767	IFI254	6.2014	46000
3-3-1	785118752767	IFI375	6.2014	50001
3-3-1	785118752767	IFI419	6.2012	1000
3-3-1	785118752767	IFI431	6.2014	4001
3-3-1	785118752767	IFJ375	6.2014	999
3-3-2	008400002242	1E044	5.2014	5
3-3-2	008400002242	1H038	8.2014	10
3-3-2	008400002242	QCQ88	3.2013	2
3-3-2	785120754728	1F1278	6.2013	115
3-3-2	7501082212174	A8606586	3.2014	1
3-3-2	7501082212181	A841329A	2.2014	9
3-3-2	7501082212181	A841329E	2.2014	10
3-3-2	7501082212181	A885636C	5.2014	17
3-3-2	7501124103323	11106318	6.2013	30
3-3-2	7501124103323	11106372	6.2013	51
3-3-2	7501124103323	11107374	6.2013	199
3-3-2	7501124103323	I1104185	4.2013	15
3-3-2	7501124103323	I1106318	6.2013	24
3-3-2	7501124103477	I405290	4.2013	121
3-3-2	7501124103477	I1007482	7.2014	538
3-3-2	7501124103477	I1101895	1.2015	32
3-3-2	7501124103477	I1103075	2.2015	55
3-3-2	7501124103477	I1105290	4.2013	10
3-3-2	7501124103477	I1106296	5.2015	147
3-3-2	7501124103477	I1109627	9.2015	42
3-3-2	7501124103477	I1201049	1.2016	3
3-3-2	7501125101731	B051938	5.2013	75
3-3-2	7501303449501	1328	9.2013	3
3-3-2	7501303449501	1332	9.2014	1
3-3-2	7501303449501	XB3010K	5.2015	2
3-3-2	7501303449501	XB304P5	2.2017	38
3-3-2	7501409201522	AJ201108	5.2014	8
3-3-2	7501471888867	1K8212	9.2012	104
3-3-2	7501471888867	DL8221	3.2014	32
3-3-2	7501471888867	DL8221	4.2014	211
3-3-2	7501471888867	E18305	4.2014	49
3-3-2	7501471888867	E18305	5.2014	180
3-3-2	7501471888867	E18306	5.2014	104
3-3-2	7501471888867	EL8305	5.2014	66
3-3-2	7501471888867	EL8306	5.2014	129
3-3-2	7501471888867	IK8212	9.2013	214
3-3-2	7501471889314	FL8359	6.2013	4
3-3-2	7501537194130	112073	12.2013	29
3-3-2	7501537195090	101171	1.2013	10
3-3-2	7501573900368	SE1151	5.2013	93
3-3-2	7501644790034	110021	10.2013	3
3-3-2	7501672690115	1061111	6.2013	2
3-3-2	7501672690177	1061070	6.2013	49
3-3-2	7501672690177	2030353	3.2014	125
3-3-2	7501672690177	2081410	8.2014	2
3-3-2	7501672690351	1061059	6.2013	10
3-3-2	7501672690351	1061060	6.2013	138
3-3-2	7501672690351	1061061	6.2013	62
3-3-2	7501672690351	1061062	6.2013	32
3-3-2	7501672690351	1071342	7.2013	319
3-3-2	7501908251066	23014	2.2014	140
3-3-2	7501908251066	23015	3.2014	1
3-3-2	7501908254227	11181	9.2013	33
3-3-2	7501908254227	11217	11.2013	68
3-3-2	7501908254227	21078	4.2014	125
3-3-2	7501908255286	21024	2.2014	50
3-3-2	7501908255286	21027	2.2014	133
3-3-2	7502010840117	S12238	8.2014	250
3-3-2	7502213040048	M171	1.2013	22
3-3-2	7502213040048	1D044	4.2013	41
3-3-2	7502213040048	1D046	4.2013	60
3-3-2	7502213040048	1D046	4.2015	5
3-3-2	7502213040048	1H097	8.2013	10
3-3-2	7502213040048	1H097	9.2013	10
3-3-2	7502213040048	1H113	9.2013	12
3-3-2	7502213040048	20125	5.2014	156
3-3-2	7502213040048	2B051	3.2014	10
3-3-2	7502213040048	2D124	3.2014	4
3-3-2	7502213040048	2D124	4.2014	6
3-3-2	7502213040048	2D125	5.2014	90
3-3-2	7502213040048	2F182	6.2014	421
3-3-2	7502227871416	RRM023	10.2013	5
3-3-2	7503000997965	11031009	3.2013	17
3-3-2	7503000997965	11031111	3.2013	7
3-3-2	7503000997965	11101814	10.2013	33
3-3-3	7501125116605	B041867	4.2015	32
3-3-3	7501125196829	B040160	4.2014	268
3-3-3	7501125196829	B040161	4.2014	7
3-3-3	7501125196829	B041866	4.2015	47
3-3-3	7501125196829	B061022	6.2015	45
3-3-3	7501125196829	B079693	7.2013	8
3-3-3	7501125196829	B080387	8.2014	53
3-3-3	7501125196829	B089740	8.2013	362
3-3-3	7501125196829	B100515	10.2014	60
3-3-3	7501125196829	B119944	11.2013	5
3-3-3	7501125196829	B120642	12.2014	482
3-3-3	7501277004317	634D12	4.2016	459
3-3-3	7501277004317	809F11	6.2015	416
3-3-3	7501277004317	1442612	7.2016	201
3-3-3	7501277004317	1884L11	12.2015	101
3-3-3	7501277004317	285B11A	2.2015	533
3-3-3	7501620314261	80609A	6.2014	39
3-3-4	7501122965602	19192	6.2013	4
3-3-4	7501122965602	19193	7.2013	5
3-3-4	7501122965602	19979	9.2015	108
3-3-4	7501122965602	21877	2.2014	2
3-3-4	7501122965602	22542	3.2014	153
3-3-4	7501125112393	B031848	3.2014	19
3-3-4	7501125112393	B041885	4.2014	5
3-3-4	7501125112393	B061008	6.2014	17
3-3-4	7501125112706	C031507	3.2014	50
3-3-4	7501125192661	C041554	4.2014	245
3-3-4	7501125192661	C070230	7.2013	17
3-3-4	7501125192661	C071720	7.2014	104
3-3-4	7501125192661	C111910	11.2014	125
3-3-4	7501125199516	6022474	2.2014	8
3-3-4	7501125199516	6061420	6.2013	3
3-3-4	7501125199516	G032486	3.2014	3
3-3-4	7501125199516	G052500	5.2014	10
